LIGA,MATCHDAY,DATE,TIME_ZAPAS,HOMETEAM,AWAYTEAM,COACH,ATTENDANCE,SEASON,HOME,ID,TIME,TEMPERATURE,RAIN,SNOWFALL,PRECIPITATION,ATRAKTIVITA_VSTUPNE,ATRAKTIVITA_FANOUS,VERNOSTNI_SYSTEM,DAY_OF_WEEK,MONTH,UEFA_VAHA,TEMP_KATEGORIE,SRAZKY_KATEGORIE,POCASI_KATEGORIE,POCASI_LABEL
Chance Liga,2,2025-07-27,20:00:00.000,Sparta Prague,Mlada Boleslav,Brian Priske,17202,2025/2026,Sparta Prague,25,2025-07-27 20:00:00,22.2,0.0,0.0,0.0,3.0,2.0,1,6,7,0,1,1,1,1_Ideální počasí
Chance Liga,4,2025-08-10,20:00:00.000,Sparta Prague,Sigma Olomouc,Brian Priske,17434,2025/2026,Sparta Prague,25,2025-08-10 20:00:00,22.9,0.0,0.0,0.0,3.0,2.0,1,6,8,0,1,1,1,1_Ideální počasí
Chance Liga,6,2025-08-24,20:00:00.000,Sparta Prague,Dukla Prague,Brian Priske,17288,2025/2026,Sparta Prague,25,2025-08-24 20:00:00,16.5,0.0,0.0,0.0,3.0,3.0,1,6,8,0,1,1,1,1_Ideální počasí
Chance Liga,7,2025-08-31,20:00:00.000,Sparta Prague,Zlin,Brian Priske,16936,2025/2026,Sparta Prague,25,2025-08-31 20:00:00,19.6,0.0,0.0,0.0,3.0,4.0,1,6,8,0,1,1,1,1_Ideální počasí
Chance Liga,9,2025-09-20,18:00:00.000,Sparta Prague,Viktoria Plzeň,Brian Priske,17752,2025/2026,Sparta Prague,25,2025-09-20 18:00:00,27.2,0.0,0.0,0.0,1.0,1.0,1,5,9,0,3,1,3,3_Hraniční komfort
Chance Liga,11,2025-10-05,18:30:00.000,Sparta Prague,Slavia Praha,Brian Priske,18213,2025/2026,Sparta Prague,25,2025-10-05 18:00:00,10.6,0.0,0.0,0.0,1.0,1.0,1,6,10,0,2,1,2,2_V pohodě
Chance Liga,13,2025-10-28,17:00:00.000,Sparta Prague,Bohemians 1905,Brian Priske,17560,2025/2026,Sparta Prague,25,2025-10-28 17:00:00,11.1,0.0,0.0,0.0,3.0,2.0,1,1,10,0,2,1,2,2_V pohodě
Chance Liga,15,2025-11-09,15:30:00.000,Sparta Prague,Teplice,Brian Priske,16145,2025/2026,Sparta Prague,25,2025-11-09 15:00:00,6.2,0.4,0.0,0.4,3.0,3.0,1,6,11,0,3,3,3,3_Hraniční komfort
Chance Liga,17,2025-11-30,18:30:00.000,Sparta Prague,Pardubice,Brian Priske,16193,2025/2026,Sparta Prague,25,2025-11-30 18:00:00,2.1,0.0,0.0,0.0,3.0,4.0,1,6,11,0,4,1,4,4_Nepříjemné
Chance Liga,19,2025-12-14,18:30:00.000,Sparta Prague,Slovan Liberec,Brian Priske,16154,2025/2026,Sparta Prague,25,2025-12-14 18:00:00,3.0,0.0,0.0,0.0,3.0,2.0,1,6,12,0,4,1,4,4_Nepříjemné
